ObjectID,Route Location:,Route ID:,Select the statement that best describes the amount and distribution of litter in the street.,Does litter obstruct the street?,Select the statement that best describes the amount and distribution of litter on the sidewalk.,How many large abandoned items are present?,What types of items are present? (select all that apply),Other dumped items:,Does illegal dumping obstruct the street?,How many instances of graffiti are present on private property or on the sidewalk or non-painted curb immediately adjacent to private property?,How many instances of graffiti are present on SF gov property?,How many instances of graffiti are present on other property?,Select the statement that best describes the amount and distribution of broken glass on the street and sidewalk:,How many instances of broken glass are present along the sidewalk and street?,How many instances of feces are present?,How many abandoned syringes are present?,How many used or opened condoms are present?,How many dead animals are present?,Does the route have one or more trash receptacles?,Are any trash receptacles overflowing?,Is sidewalk clearance less than 4 feet wide or 8 feet high at any point?,"If yes, identify the cause (select all that apply)",Other sidewalk obstructions:,Does the sidewalk have any defects that have not been marked for repair?,Does the sidewalk have any marked defects that have not been repaired?,How severe are the pavement defects?,Do you detect any strong unpleasant or offensive odors along the street or sidewalk?,"If yes, is the odor from a sewer or catch basin?",Does the route have one or more transit shelters?,Which of the following issues are present in or on any of the transit shelters along the route?,Is this route predominantly residential or commercial/industrial/mixed use?,CreationDate,x,y,the_geom,SF Find Neighborhoods 2,Analysis Neighborhoods 2,Current Supervisor Districts 2
1146,Gough St BETWEEN Market St AND Page St,3210,2,0,3,0,,,,1,0,1,4,1,0,0,0,0,0,,1,313,,0,0,,0,,0,,1,05/11/2022 03:21:10 PM,-122.422303803994,37.7735026830259,POINT (-122.422303803994 37.7735026830259),26,9,11
797,03rd St BETWEEN Armstrong Ave AND Bancroft Ave,6242,2,0,2,0,,,,0,0,0,1,,7,0,0,0,0,,0,,,0,0,,0,,0,,,03/23/2022 08:28:00 PM,-122.393683126004,37.7265951964116,POINT (-122.393683126004 37.7265951964116),86,1,9
4384,Cole St BETWEEN Grattan St AND Alma St,13555,2,0,2,0,,,,3,0,0,1,,0,0,0,0,0,,0,,,1,1,2,0,,0,,1,03/23/2023 07:36:39 PM,-122.449516768034,37.7636131209264,POINT (-122.449516768034 37.7636131209264),114,3,11
2144,Racine Ln BETWEEN Wabash Ter AND San Bruno Ave,328,2,0,4,0,,,,16,3,0,1,,3,0,0,1,0,,1,12,,0,0,,0,,0,,2,08/12/2022 09:06:58 PM,-122.401034286112,37.7134415389423,POINT (-122.401034286112 37.7134415389423),75,40,9
3764,01St St BETWEEN Howard St AND Tehama St,7337,3,0,3,0,,,,0,1,0,1,,0,0,0,0,0,,0,,,0,0,,0,,0,,1,02/14/2023 04:59:05 AM,-122.395756356831,37.7883140571765,POINT (-122.395756356831 37.7883140571765),32,8,10
5,Market St BETWEEN Church St AND Sanchez St,12706,2,0,3,1,3,,0,100,22,12,4,2,2,0,0,0,1,0,0,,,1,1,2,0,,1,692,1,01/17/2022 04:56:07 PM,-122.430058065119,37.7667373410978,POINT (-122.430058065119 37.7667373410978),28,5,5
1559,Van Ness Ave BETWEEN Broadway AND Vallejo St,15824,2,0,2,0,,,,20,1,0,1,,6,0,0,0,1,0,0,,,0,0,,0,,1,1,1,06/09/2022 04:57:28 PM,-122.423625219488,37.7962060580536,POINT (-122.423625219488 37.7962060580536),102,30,6
3600,Irving St BETWEEN 44th Ave AND 45th Ave,2548,4,0,4,1,6,,0,0,4,14,4,1,2,0,0,0,0,,1,12,,1,0,1,0,,0,,1,01/31/2023 09:18:33 PM,-122.504452029204,37.7623560925176,POINT (-122.504452029204 37.7623560925176),39,35,7
4063,Geary Blvd BETWEEN 16th Ave AND 17th Ave,1354,2,0,3,0,,,,40,18,0,2,1,1,0,0,0,1,0,0,,,1,1,3,0,,1,6529,1,02/24/2023 02:08:57 AM,-122.475620826536,37.7804341409718,POINT (-122.475620826536 37.7804341409718),5,29,4
3470,Divisadero St BETWEEN O'farrell St AND Geary Blvd,1305,3,0,4,1,8,,0,0,72,4,1,,0,0,0,0,1,0,0,,,1,0,1,0,,1,569,1,01/20/2023 09:22:27 PM,-122.439442080376,37.7828733334873,POINT (-122.439442080376 37.7828733334873),13,39,11
